ASIN,OVERALL,ReviewText,ReviewTime,ReviewerID,ReviewerName,Summary,UnixReviewTime,Helpful
'B00LPXAGV4,5,Finally one of my favorite Electronic Pop albums is available! SSQ was a very influential Techno band from SoCal at the time of Missing Persons and Berlin. The Canadian born band leader and producer  Jon St. James helped shape Berlin's techno pop sound in his studio Casbah. Playback was originally on Enigma Records and then picked up by EMI America just before the label folded. SSQ was left out in the cold and the album which is amazing got little to no promotion. Transatlantic the solo album by St. James was released just after SSQ and suffered the same fate. &#34;The Girl Who Seduced the World&#34; which was on the Transatlantic album is included on this version of Playback which makes me think it was originally an SSQ song. The only previous release of Playback was vinyl and had only 8 songs. This re-mastered version has 14 songs including two versions of Tonight (we'll make love until we die) from the cult horror movie Return of the Living Dead. SSQ's sound is Electronic pop with a Euro twist and undercurrent of American rock and topping it off the sultry sexy voice of beautiful ingenue Stacey Swain later known as Stacey Q (Two of Hearts). SSQ's influence on the Electronic Techno Pop genre can not be understated. This release is a treasure. Re-mastering is quite good: Highly recommended.,07 15 2014,AVITQOKP6DYKX,Upgrade,'Finally one of my favorite Electronic Pop albums is available,'1405382400,0 \  0
'B00LQ8DG24,5,I read about Lena Fayre in a Rolling Stone article that billed her as an artist you need to know and I really liked the songs from her self-titled EP. I signed up for her newsletters and got one earlier today that said that she has a new single out so I listened to the preview and decided to buy it. I Am Not A Man is a wonderful song performed beautifully by a 17-year singer with a distinctive voice that draws you into the music in a memorizing way. I am glad that I found her. Highly recommend.,07 12 2014,A61Y571LEB8S2,"ApplePie4Me ""ApplePie4Me""",'She's The Real Deal,'1405123200,0 \  0
'B00LQ92A20,5,Holy cow can he sing.  IMO this is as good as the original maybe better. Awesome.,07 14 2014,A5A8DFNJAQC7J,"bjm gator ""bjm gator""",'IMO this is as good as the original,'1405296000,0 \  0
'B00LQ92A20,5,A TRUE Rising Star!,07 16 2014,A3H6QZK9OUIT9O,"Catherine Bonaccorsi ""tough customer""",'Five Stars,'1405468800,0 \  0
'B00LQ92TE4,5,While exactly one-minute shorter than the primary Womack version and missing the incredible cello as well as back-up singers I was surprised that a cover could be better than the original!  I still love both versions (I could have written this song before and following my 13-year Life Crash of self-hatred a six-month Life Crash of being risk averse and a two-year Murphy type Life Crash) but I'm glad that Mark D. Sanders and Tia Sillers Purcell did write it.  It is always an exciting pleasure to teach the 12-week workshop that this song Inspired.  I've got a feeling that no matter what happened the world (at least Nashville) has just begun to hear from Sarah Darling.  &#34;Winning&#34; doesn't always matter.  I'll add this version to the end of my very Positive full playlist that I hope will be played after my funeral.,07 14 2014,AGNBUNMKIHYEM,"Russell A. Ligeikis ""&#34;Diamond Chaser&#34;""",'I was surprised that a cover could be better than the original,'1405296000,0 \  0
'B00LQLPTXK,5,Great tune. Live the combo of EDM in corporate worship tune. So well done.,07 15 2014,A2Q75UQYFAYPGW,Amazon Customer,'Breaks new ground. So fresh.,'1405382400,0 \  0
'B00LQLPTXK,3,Nice.,07 15 2014,AN217IYNVARM7,Audrey Velazquez,'Three Stars,'1405382400,0 \  0
'B00LQUW3BC,5,i love it !,07 21 2014,A3N3DV79BBOE5C,aziz rahmani,'Five Stars,'1405900800,0 \  0
'B00LTFDZXE,5,My jam Yo gotti never fails to speak the truth,07 20 2014,A3HJS000P7AC0Q,shyrod williams,'Five Stars,'1405814400,0 \  0
'B00LTL4VGI,5,Love the song....way to go....another hit...,07 22 2014,A1BSP3G2B7UNBK,Krysten Stephens,'Wonderful song,'1405987200,0 \  0
'B00LWCRAQ2,5,"""A demon pianist."" - THE BOSTON GLOBE",07 20 2014,A3LV9NGAOMV9NN,Reviews,'Five Stars,'1405814400,0 \  0
'B00LWJDZHI,5,A must have love this song. # BBN589,07 23 2014,A1QP5WSKUYZUMG,Angela Martin,'A Must Have,'1406073600,0 \  0
'B00LWJDZHI,5,i love this song! the lyrics mean so much! Im so proud of her....she has her moms voice and u can hear it in certain parts of the song but i know that with pratice she'll be great! Rootin for you babygirl! ARRIBA LAS PARRANDERAS!!!,07 22 2014,A3LWJETAAAD4OU,chris,'The seed of the best!!!,'1405987200,0 \  0
'B00LWJDZHI,5,Amazing song from a amazing girl,07 18 2014,A38NRGVVEF3950,gia r.,'Five Stars,'1405641600,0 \  0
'B00LWJDZHI,5,I Love it!!!BBN1334,07 23 2014,A36ZEAXJ5HMQXA,Jenira,'Love it!!,'1406073600,0 \  0
'B00LWJDZHI,5,Love it!!! I can see she is working hard to get better every day... all I can say she is gonna get far In this industry&#128077; keep up the good work Chiquis Rivera,07 21 2014,A1840L5R4OPDE4,leo,'Chiquis Rivera &#128077;&#128077;,'1405900800,0 \  0
'B00LWJDZHI,5,Love the song,07 20 2014,A1HGHLLGGGAQZX,Selene murillo,'Five Stars,'1405814400,0 \  0
'B00LWJDZHI,5,Amazing,07 22 2014,A2SWE776KGEYPI,Vince,'Five Stars,'1405987200,0 \  0
